day,month,Open Date,Open Date,Open time,Open Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
8,mar,March ,March 8,1678233600000,3/8/2023 0:00:00,0.3802,0.4018,0.3723,0.3889,682406723,1678319999999,265136639.3,325672,344589959,133859502.2,0
9,mar,March ,March 9,1678320000000,3/9/2023 0:00:00,0.3889,0.3976,0.3639,0.3706,655014119,1678406399999,252341949,304944,317289093,122389927.8,0
10,mar,March ,March 10,1678406400000,3/10/2023 0:00:00,0.3706,0.3752,0.3571,0.37,541098785,1678492799999,198898835.5,264359,273214134,100420182.9,0
11,mar,March ,March 11,1678492800000,3/11/2023 0:00:00,0.3699,0.3741,0.3582,0.3638,342981412,1678579199999,125158363.7,196161,170461652,62199052.23,0
12,mar,March ,March 12,1678579200000,3/12/2023 0:00:00,0.3637,0.3715,0.3473,0.3714,389760071,1678665599999,140064897.7,206750,188167005,67677461.36,0
13,mar,March ,March 13,1678665600000,3/13/2023 0:00:00,0.3713,0.38,0.3553,0.3724,556402600,1678751999999,204984639.5,295723,289315654,106611381.2,0
14,mar,March ,March 14,1678752000000,3/14/2023 0:00:00,0.3724,0.387,0.3647,0.3724,544803822,1678838399999,203995643.1,283108,268646880,100592504.3,0
15,mar,March ,March 15,1678838400000,3/15/2023 0:00:00,0.3724,0.3757,0.356,0.3589,385093409,1678924799999,140863011.9,198592,189758340,69424022.92,0
16,mar,March ,March 16,1678924800000,3/16/2023 0:00:00,0.3589,0.367,0.3562,0.3647,259083315,1679011199999,93875787.5,132174,129201218,46815132.44,0
17,mar,March ,March 17,1679011200000,3/17/2023 0:00:00,0.3648,0.3825,0.362,0.3798,405873760,1679097599999,151029086.1,199685,209014814,77793030.24,0
18,mar,March ,March 18,1679097600000,3/18/2023 0:00:00,0.3797,0.3898,0.3691,0.3739,360335327,1679183999999,136790748.3,194468,179787799,68267255.54,0
19,mar,March ,March 19,1679184000000,3/19/2023 0:00:00,0.3739,0.4,0.3736,0.3857,476291604,1679270399999,185211360.2,275018,234827804,91321188.48,0
20,mar,March ,March 20,1679270400000,3/20/2023 0:00:00,0.3858,0.3913,0.3707,0.3734,443129416,1679356799999,168478007.1,217102,232492550,88389967.52,0
21,mar,March ,March 21,1679356800000,3/21/2023 0:00:00,0.3734,0.4929,0.3728,0.4696,1698380685,1679443199999,739147786.7,1036761,861860638,374553019.8,0
22,mar,March ,March 22,1679443200000,3/22/2023 0:00:00,0.4696,0.475,0.4069,0.4213,1409641087,1679529599999,626614742,847208,671590386,299006131.5,0
23,mar,March ,March 23,1679529600000,3/23/2023 0:00:00,0.4213,0.4557,0.4116,0.4438,837629903,1679615999999,368094025.9,493112,410294301,180251821.3,0
24,mar,March ,March 24,1679616000000,3/24/2023 0:00:00,0.4437,0.444,0.4141,0.4259,507977567,1679702399999,217558570.5,282648,254857997,109141910.3,0
25,mar,March ,March 25,1679702400000,3/25/2023 0:00:00,0.426,0.465,0.4223,0.4429,635312958,1679788799999,284432424.3,428283,323282019,144700617.8,0
26,mar,March ,March 26,1679788800000,3/26/2023 0:00:00,0.4429,0.4632,0.4403,0.4479,364479792,1679875199999,164516868.4,251330,176384097,79642209.23,0
27,mar,March ,March 27,1679875200000,3/27/2023 0:00:00,0.4479,0.4888,0.4425,0.479,1003256531,1679961599999,468907974,566635,490072282,228906420.8,0
28,mar,March ,March 28,1679961600000,3/28/2023 0:00:00,0.4789,0.534,0.4666,0.5144,1126346466,1680047999999,561768921.8,675666,550271016,274493912.1,0
29,mar,March ,March 29,1680048000000,3/29/2023 0:00:00,0.5145,0.585,0.5145,0.5425,1291815558,1680134399999,710720110.9,862122,650365697,357800046.8,0
30,mar,March ,March 30,1680134400000,3/30/2023 0:00:00,0.5425,0.558,0.5214,0.5319,827691286,1680220799999,444533562.2,535861,420253408,225765698.8,0
31,mar,March ,March 31,1680220800000,3/31/2023 0:00:00,0.5319,0.564,0.5257,0.5374,532875635,1680307199999,285494944.5,362827,272586852,146009892.1,0
1,apr,April ,April 1,1680307200000,4/1/2023 0:00:00,0.5375,0.5375,0.4972,0.5095,516087832,1680393599999,265787844,373082,244916636,126161104.9,0
2,apr,April ,April 2,1680393600000,4/2/2023 0:00:00,0.5095,0.529,0.5015,0.518,391347744,1680479999999,202442762.8,304023,197069492,101937712.6,0
3,apr,April ,April 3,1680480000000,4/3/2023 0:00:00,0.5179,0.525,0.481,0.4959,522070023,1680566399999,264930891.5,375185,263845216,134011798.4,0
4,apr,April ,April 4,1680566400000,4/4/2023 0:00:00,0.4958,0.5078,0.4871,0.5026,360227447,1680652799999,179555332.7,233646,187654340,93517974.76,0
5,apr,April ,April 5,1680652800000,4/5/2023 0:00:00,0.5026,0.5271,0.4986,0.5055,411989031,1680739199999,210165518.3,265503,207173028,105716749.9,0
6,apr,April ,April 6,1680739200000,4/6/2023 0:00:00,0.5056,0.5097,0.4913,0.5028,315900045,1680825599999,158484620.8,226191,159289413,79927656.3,0
7,apr,April ,April 7,1680825600000,4/7/2023 0:00:00,0.5028,0.5156,0.4971,0.5126,318185786,1680911999999,161500221.1,236639,164493145,83510779.57,0
8,apr,April ,April 8,1680912000000,4/8/2023 0:00:00,0.5127,0.513,0.5022,0.5048,136614694,1680998399999,69517878.44,131248,61730572,31410989.68,0
9,apr,April ,April 9,1680998400000,4/9/2023 0:00:00,0.5049,0.5093,0.4983,0.5054,116122379,1681084799999,58532234.58,99848,56270959,28366468.52,0
